date,year,month,quarter,day_of_year,day_of_week,is_weekend,clean_fuel_access,country,country_code,series_name,series_code
2010-01-01,2010,1,1,1,4,0,2.0,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-01-02,2010,1,1,2,5,1,2.0,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-01-03,2010,1,1,3,6,1,2.001,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-01-04,2010,1,1,4,0,0,2.001,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-01-05,2010,1,1,5,1,0,2.005,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-01-06,2010,1,1,6,2,0,2.002,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-01-07,2010,1,1,7,3,0,2.004,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-01-08,2010,1,1,8,4,0,2.003,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-01-09,2010,1,1,9,5,1,2.004,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-01-10,2010,1,1,10,6,1,2.005,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-01-11,2010,1,1,11,0,0,2.005,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-01-12,2010,1,1,12,1,0,2.008,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-01-13,2010,1,1,13,2,0,2.007,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-01-14,2010,1,1,14,3,0,2.002,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-01-15,2010,1,1,15,4,0,2.008,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-01-16,2010,1,1,16,5,1,2.01,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-01-17,2010,1,1,17,6,1,2.006,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-01-18,2010,1,1,18,0,0,2.008,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-01-19,2010,1,1,19,1,0,2.011,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-01-20,2010,1,1,20,2,0,2.013,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-01-21,2010,1,1,21,3,0,2.018,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-01-22,2010,1,1,22,4,0,2.017,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-01-23,2010,1,1,23,5,1,2.015,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-01-24,2010,1,1,24,6,1,2.016,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-01-25,2010,1,1,25,0,0,2.012,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-01-26,2010,1,1,26,1,0,2.011,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-01-27,2010,1,1,27,2,0,2.008,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-01-28,2010,1,1,28,3,0,2.016,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-01-29,2010,1,1,29,4,0,2.018,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-01-30,2010,1,1,30,5,1,2.02,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-01-31,2010,1,1,31,6,1,2.024,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-02-01,2010,2,1,32,0,0,2.033,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-02-02,2010,2,1,33,1,0,2.029,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-02-03,2010,2,1,34,2,0,2.03,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-02-04,2010,2,1,35,3,0,2.03,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-02-05,2010,2,1,36,4,0,2.031,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-02-06,2010,2,1,37,5,1,2.034,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-02-07,2010,2,1,38,6,1,2.042,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-02-08,2010,2,1,39,0,0,2.043,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-02-09,2010,2,1,40,1,0,2.047,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-02-10,2010,2,1,41,2,0,2.057,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-02-11,2010,2,1,42,3,0,2.049,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-02-12,2010,2,1,43,4,0,2.049,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-02-13,2010,2,1,44,5,1,2.055,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-02-14,2010,2,1,45,6,1,2.052,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-02-15,2010,2,1,46,0,0,2.049,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-02-16,2010,2,1,47,1,0,2.047,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-02-17,2010,2,1,48,2,0,2.045,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-02-18,2010,2,1,49,3,0,2.05,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-02-19,2010,2,1,50,4,0,2.053,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-02-20,2010,2,1,51,5,1,2.054,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-02-21,2010,2,1,52,6,1,2.055,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-02-22,2010,2,1,53,0,0,2.055,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-02-23,2010,2,1,54,1,0,2.06,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-02-24,2010,2,1,55,2,0,2.062,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-02-25,2010,2,1,56,3,0,2.058,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-02-26,2010,2,1,57,4,0,2.056,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-02-27,2010,2,1,58,5,1,2.055,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-02-28,2010,2,1,59,6,1,2.059,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-03-01,2010,3,1,60,0,0,2.067,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-03-02,2010,3,1,61,1,0,2.076,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-03-03,2010,3,1,62,2,0,2.071,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-03-04,2010,3,1,63,3,0,2.081,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-03-05,2010,3,1,64,4,0,2.082,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-03-06,2010,3,1,65,5,1,2.081,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-03-07,2010,3,1,66,6,1,2.081,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-03-08,2010,3,1,67,0,0,2.082,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-03-09,2010,3,1,68,1,0,2.087,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-03-10,2010,3,1,69,2,0,2.095,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-03-11,2010,3,1,70,3,0,2.095,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-03-12,2010,3,1,71,4,0,2.1,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-03-13,2010,3,1,72,5,1,2.103,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-03-14,2010,3,1,73,6,1,2.104,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-03-15,2010,3,1,74,0,0,2.105,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-03-16,2010,3,1,75,1,0,2.097,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-03-17,2010,3,1,76,2,0,2.095,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-03-18,2010,3,1,77,3,0,2.095,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-03-19,2010,3,1,78,4,0,2.093,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-03-20,2010,3,1,79,5,1,2.097,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-03-21,2010,3,1,80,6,1,2.094,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
