date,year,month,day,day_of_year,item,item_code,value,unit,area,area_code,element,element_code,domain,domain_code,flag,flag_description
2010-01-01,2010,1,1,1,"Wood fuel, non-coniferous",1628,37258.41,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-01-02,2010,1,2,2,"Wood fuel, non-coniferous",1628,31244.78,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-01-03,2010,1,3,3,"Wood fuel, non-coniferous",1628,36357.87,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-01-04,2010,1,4,4,"Wood fuel, non-coniferous",1628,35040.83,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-01-05,2010,1,5,5,"Wood fuel, non-coniferous",1628,42966.39,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-01-06,2010,1,6,6,"Wood fuel, non-coniferous",1628,25866.81,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-01-07,2010,1,7,7,"Wood fuel, non-coniferous",1628,27119.23,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-01-08,2010,1,8,8,"Wood fuel, non-coniferous",1628,36002.82,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-01-09,2010,1,9,9,"Wood fuel, non-coniferous",1628,31058.58,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-01-10,2010,1,10,10,"Wood fuel, non-coniferous",1628,30077.85,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-01-11,2010,1,11,11,"Wood fuel, non-coniferous",1628,23077.92,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-01-12,2010,1,12,12,"Wood fuel, non-coniferous",1628,25555.82,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-01-13,2010,1,13,13,"Wood fuel, non-coniferous",1628,33850.56,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-01-14,2010,1,14,14,"Wood fuel, non-coniferous",1628,25221.02,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-01-15,2010,1,15,15,"Wood fuel, non-coniferous",1628,30136.95,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-01-16,2010,1,16,16,"Wood fuel, non-coniferous",1628,32131.09,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-01-17,2010,1,17,17,"Wood fuel, non-coniferous",1628,28476.28,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-01-18,2010,1,18,18,"Wood fuel, non-coniferous",1628,32742.5,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-01-19,2010,1,19,19,"Wood fuel, non-coniferous",1628,31417.09,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-01-20,2010,1,20,20,"Wood fuel, non-coniferous",1628,30545.77,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-01-21,2010,1,21,21,"Wood fuel, non-coniferous",1628,31306.58,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-01-22,2010,1,22,22,"Wood fuel, non-coniferous",1628,30483.43,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-01-23,2010,1,23,23,"Wood fuel, non-coniferous",1628,35267.75,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-01-24,2010,1,24,24,"Wood fuel, non-coniferous",1628,30582.05,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-01-25,2010,1,25,25,"Wood fuel, non-coniferous",1628,30717.11,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-01-26,2010,1,26,26,"Wood fuel, non-coniferous",1628,31314.54,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-01-27,2010,1,27,27,"Wood fuel, non-coniferous",1628,29932.65,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-01-28,2010,1,28,28,"Wood fuel, non-coniferous",1628,29821.35,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-01-29,2010,1,29,29,"Wood fuel, non-coniferous",1628,32154.6,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
