date,temperature_avg,rainfall_mm,humidity_avg,wind_speed_kmh,season,woodfuel_production_m3,year,month,quarter,day_of_year,day_of_week,is_weekend,temp_7d_avg,temp_30d_avg,temperature_lag1,rainfall_7d_avg,rainfall_30d_cumulative,rainfall_lag1,woodfuel_7d_avg,woodfuel_30d_avg,woodfuel_lag1,woodfuel_lag7,is_dry_season,is_rainy_season
2010-01-01,12.0,0.2,73.0,10.1,Dry,37258.41,2010,1,1,1,4,0,12.8,13.666666666666666,12.0,0.2,0.2,0.2,34975.4725,31389.056,37258.41,37258.41,1,0
2010-01-02,12.5,0.1,82.6,9.2,Dry,31244.78,2010,1,1,2,5,1,12.64,13.78125,12.0,0.27999999999999997,0.30000000000000004,0.2,36573.656,31435.433125,37258.41,37258.41,1,0
2010-01-03,14.4,0.2,77.7,9.2,Dry,36357.87,2010,1,1,3,6,1,13.0,13.923529411764704,12.5,0.3,0.5,0.1,34789.181666666664,31261.365294117644,31244.78,37258.41,1,0
2010-01-04,12.3,0.3,65.7,10.2,Dry,35040.83,2010,1,1,4,0,0,13.214285714285714,14.06111111111111,14.4,0.5285714285714286,0.8,0.2,33693.474285714285,31343.650555555552,36357.87,37258.41,1,0
2010-01-05,12.0,0.6,60.5,14.9,Dry,42966.39,2010,1,1,5,1,0,13.657142857142857,14.131578947368421,12.3,0.6285714285714284,1.4,0.3,33514.10428571429,31347.515789473688,35040.83,37258.41,1,0
2010-01-06,14.8,0.4,73.0,8.7,Dry,25866.81,2010,1,1,6,2,0,13.585714285714285,14.025,12.0,0.6571428571428573,1.8,0.6,33487.50428571428,31307.428499999998,42966.39,37258.41,1,0
2010-01-07,14.5,1.9,58.2,8.9,Dry,27119.23,2010,1,1,7,3,0,13.628571428571428,14.042857142857141,14.8,0.9,3.7,0.4,32590.358571428573,31307.388095238097,25866.81,37258.41,1,0
2010-01-08,15.1,0.9,76.3,8.1,Dry,36002.82,2010,1,1,8,4,0,13.885714285714286,14.145454545454545,14.5,1.1857142857142857,4.6,1.9,30881.371428571427,31269.93545454545,27119.23,37258.41,1,0
2010-01-09,12.0,0.3,65.2,9.5,Dry,31058.58,2010,1,1,9,5,1,14.385714285714286,14.143478260869566,15.1,1.1285714285714286,4.9,0.9,28394.147142857142,31443.753478260867,36002.82,31244.78,1,0
2010-01-10,14.7,1.9,86.2,8.6,Dry,30077.85,2010,1,1,10,6,1,13.985714285714286,14.083333333333334,12.0,1.3285714285714287,6.8,0.3,29534.682857142856,31407.849166666667,31058.58,36357.87,1,0
2010-01-11,14.1,2.3,86.8,12.8,Dry,23077.92,2010,1,1,11,0,0,13.87142857142857,14.112,14.7,1.157142857142857,9.1,1.9,29263.510000000002,31380.2196,30077.85,35040.83,1,0
2010-01-12,15.5,0.2,94.0,13.7,Dry,25555.82,2010,1,1,12,1,0,13.914285714285715,14.034615384615384,14.1,1.3142857142857143,9.299999999999999,2.3,28425.528571428567,31377.693461538463,23077.92,42966.39,1,0
2010-01-13,12.0,1.8,90.2,6.9,Dry,33850.56,2010,1,1,13,2,0,14.414285714285715,14.05925925925926,15.5,1.3571428571428572,11.1,0.2,28578.744285714285,31324.173333333336,25555.82,25866.81,1,0
2010-01-14,13.7,0.7,56.0,8.6,Dry,25221.02,2010,1,1,14,3,0,14.62857142857143,14.078571428571427,12.0,1.1285714285714286,11.799999999999999,1.8,28349.94857142857,31270.50107142857,33850.56,27119.23,1,0
2010-01-15,15.4,2.0,76.5,5.1,Dry,30136.95,2010,1,1,15,4,0,14.957142857142856,14.055172413793104,13.7,0.9,13.8,0.7,29730.602857142854,31300.98724137931,25221.02,36002.82,1,0
