date,year,month,day,firewood_demand_m3,unit,area,temperature_avg,temperature_min,temperature_max,rainfall_mm,humidity_avg,pressure_hpa,wind_speed_kmh,is_rainy_day,season,latitude,longitude
2010-01-01,2010,1,1,37258.41,m3,Cameroon,15.9,10.0,20.9,0.8,61.1,1017.4,10.6,0,Dry,3.848,11.5021
2010-01-02,2010,1,2,31244.78,m3,Cameroon,13.4,10.0,18.8,0.1,66.7,997.7,13.4,0,Dry,3.848,11.5021
2010-01-03,2010,1,3,36357.87,m3,Cameroon,13.3,10.0,18.3,0.0,73.9,1018.5,9.4,0,Dry,3.848,11.5021
2010-01-04,2010,1,4,35040.83,m3,Cameroon,14.8,10.2,19.5,0.2,66.0,1026.2,8.5,0,Dry,3.848,11.5021
2010-01-05,2010,1,5,42966.39,m3,Cameroon,13.4,10.0,16.9,0.8,73.1,1015.0,5.6,0,Dry,3.848,11.5021
2010-01-06,2010,1,6,25866.81,m3,Cameroon,12.3,10.0,16.6,0.2,87.6,1013.3,6.9,0,Dry,3.848,11.5021
2010-01-07,2010,1,7,27119.23,m3,Cameroon,12.0,10.0,16.5,0.7,71.8,1031.1,9.9,0,Dry,3.848,11.5021
2010-01-08,2010,1,8,36002.82,m3,Cameroon,14.4,10.0,18.9,0.8,64.4,1007.5,12.3,0,Dry,3.848,11.5021
2010-01-09,2010,1,9,31058.58,m3,Cameroon,13.5,10.0,19.2,0.2,78.8,1017.9,12.2,0,Dry,3.848,11.5021
2010-01-10,2010,1,10,30077.85,m3,Cameroon,12.0,10.0,16.9,0.8,54.0,1009.5,6.9,0,Dry,3.848,11.5021
2010-01-11,2010,1,11,23077.92,m3,Cameroon,13.4,10.0,16.5,0.0,71.0,1010.7,5.7,0,Dry,3.848,11.5021
2010-01-12,2010,1,12,25555.82,m3,Cameroon,15.4,10.0,20.3,0.4,55.5,1016.1,13.6,0,Dry,3.848,11.5021
2010-01-13,2010,1,13,33850.56,m3,Cameroon,13.3,10.0,18.6,1.6,83.7,1015.4,6.2,0,Dry,3.848,11.5021
2010-01-14,2010,1,14,25221.02,m3,Cameroon,14.0,10.0,17.3,0.1,84.4,1013.5,8.7,0,Dry,3.848,11.5021
2010-01-15,2010,1,15,30136.95,m3,Cameroon,13.5,10.0,19.1,0.6,72.5,1004.4,6.4,0,Dry,3.848,11.5021
2010-01-16,2010,1,16,32131.09,m3,Cameroon,15.6,11.1,20.4,0.4,91.2,1013.2,11.0,0,Dry,3.848,11.5021
2010-01-17,2010,1,17,28476.28,m3,Cameroon,13.5,10.0,18.1,1.1,68.4,1014.4,9.9,0,Dry,3.848,11.5021
