date,year,month,day,day_of_year,day_of_week,temperature_avg,temperature_min,temperature_max,rainfall_mm,humidity_avg,pressure_hpa,wind_speed_kmh,is_rainy_day,season,is_weekend,location,latitude,longitude,years_since_2010
2010-01-01,2010,1,1,1,4,15.9,10.0,20.9,0.8,61.1,1017.4,10.6,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-01-02,2010,1,2,2,5,13.4,10.0,18.8,0.1,66.7,997.7,13.4,0,Dry,1,"Kumbo, Cameroon",3.848,11.5021,0
2010-01-03,2010,1,3,3,6,13.3,10.0,18.3,0.0,73.9,1018.5,9.4,0,Dry,1,"Kumbo, Cameroon",3.848,11.5021,0
2010-01-04,2010,1,4,4,0,14.8,10.2,19.5,0.2,66.0,1026.2,8.5,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-01-05,2010,1,5,5,1,13.4,10.0,16.9,0.8,73.1,1015.0,5.6,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-01-06,2010,1,6,6,2,12.3,10.0,16.6,0.2,87.6,1013.3,6.9,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-01-07,2010,1,7,7,3,12.0,10.0,16.5,0.7,71.8,1031.1,9.9,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-01-08,2010,1,8,8,4,14.4,10.0,18.9,0.8,64.4,1007.5,12.3,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-01-09,2010,1,9,9,5,13.5,10.0,19.2,0.2,78.8,1017.9,12.2,0,Dry,1,"Kumbo, Cameroon",3.848,11.5021,0
2010-01-10,2010,1,10,10,6,12.0,10.0,16.9,0.8,54.0,1009.5,6.9,0,Dry,1,"Kumbo, Cameroon",3.848,11.5021,0
2010-01-11,2010,1,11,11,0,13.4,10.0,16.5,0.0,71.0,1010.7,5.7,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-01-12,2010,1,12,12,1,15.4,10.0,20.3,0.4,55.5,1016.1,13.6,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-01-13,2010,1,13,13,2,13.3,10.0,18.6,1.6,83.7,1015.4,6.2,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-01-14,2010,1,14,14,3,14.0,10.0,17.3,0.1,84.4,1013.5,8.7,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-01-15,2010,1,15,15,4,13.5,10.0,19.1,0.6,72.5,1004.4,6.4,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-01-16,2010,1,16,16,5,15.6,11.1,20.4,0.4,91.2,1013.2,11.0,0,Dry,1,"Kumbo, Cameroon",3.848,11.5021,0
2010-01-17,2010,1,17,17,6,13.5,10.0,18.1,1.1,68.4,1014.4,9.9,0,Dry,1,"Kumbo, Cameroon",3.848,11.5021,0
2010-01-18,2010,1,18,18,0,15.7,10.1,18.9,0.0,79.3,1034.4,5.5,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-01-19,2010,1,19,19,1,13.1,10.0,17.1,0.8,71.7,1010.8,5.2,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-01-20,2010,1,20,20,2,14.1,10.0,18.5,2.3,86.1,1007.2,14.4,1,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-01-21,2010,1,21,21,3,14.3,10.0,18.0,1.0,92.3,998.3,8.3,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-01-22,2010,1,22,22,4,12.0,10.0,15.5,0.3,74.3,1019.4,8.1,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-01-23,2010,1,23,23,5,14.9,10.4,20.7,0.0,74.0,1011.8,14.8,0,Dry,1,"Kumbo, Cameroon",3.848,11.5021,0
2010-01-24,2010,1,24,24,6,15.5,12.1,19.1,0.9,80.6,1009.9,9.9,0,Dry,1,"Kumbo, Cameroon",3.848,11.5021,0
2010-01-25,2010,1,25,25,0,14.7,10.4,19.5,2.3,81.5,1009.0,14.8,1,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-01-26,2010,1,26,26,1,15.4,10.0,18.9,1.6,62.4,999.3,5.2,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-01-27,2010,1,27,27,2,13.1,10.1,16.7,0.5,89.1,1016.6,10.7,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-01-28,2010,1,28,28,3,12.9,10.0,16.6,0.7,72.1,994.9,11.6,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-01-29,2010,1,29,29,4,14.9,10.7,18.0,0.2,73.9,1026.4,8.8,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-01-30,2010,1,30,30,5,14.4,11.4,19.3,3.2,82.8,1000.8,6.3,1,Dry,1,"Kumbo, Cameroon",3.848,11.5021,0
2010-01-31,2010,1,31,31,6,14.1,10.0,18.1,1.1,61.0,1005.5,7.2,0,Dry,1,"Kumbo, Cameroon",3.848,11.5021,0
2010-02-01,2010,2,1,32,0,12.2,10.0,16.7,1.0,79.4,996.1,13.0,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-02-02,2010,2,2,33,1,13.3,10.0,17.9,0.3,73.2,1035.9,12.5,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-02-03,2010,2,3,34,2,14.8,10.8,19.0,0.3,73.5,1011.1,11.7,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-02-04,2010,2,4,35,3,15.9,12.2,21.3,0.6,80.7,1015.6,8.3,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-02-05,2010,2,5,36,4,13.4,10.0,17.8,0.9,95.0,1017.4,14.1,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-02-06,2010,2,6,37,5,15.4,10.4,20.9,1.1,56.5,1010.0,13.9,0,Dry,1,"Kumbo, Cameroon",3.848,11.5021,0
2010-02-07,2010,2,7,38,6,14.5,10.4,17.6,1.3,74.0,1006.8,11.4,0,Dry,1,"Kumbo, Cameroon",3.848,11.5021,0
2010-02-08,2010,2,8,39,0,15.4,10.7,19.3,0.2,73.4,1009.5,8.8,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-02-09,2010,2,9,40,1,13.9,10.2,17.9,2.0,80.4,1019.6,11.4,1,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-02-10,2010,2,10,41,2,14.9,11.2,20.8,0.2,69.6,1004.8,6.2,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-02-11,2010,2,11,42,3,16.3,11.0,21.5,0.3,58.9,995.6,13.0,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-02-12,2010,2,12,43,4,18.3,13.5,24.1,1.5,52.7,1012.6,9.8,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-02-13,2010,2,13,44,5,15.7,10.4,19.5,0.7,91.5,1023.0,13.6,0,Dry,1,"Kumbo, Cameroon",3.848,11.5021,0
2010-02-14,2010,2,14,45,6,16.6,12.6,21.7,2.5,64.7,1015.9,7.6,1,Dry,1,"Kumbo, Cameroon",3.848,11.5021,0
2010-02-15,2010,2,15,46,0,16.8,13.6,21.3,0.4,76.9,1022.0,8.2,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-02-16,2010,2,16,47,1,15.0,11.1,18.1,0.6,91.8,1014.2,7.5,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-02-17,2010,2,17,48,2,16.6,12.5,20.7,2.7,80.4,1029.1,7.6,1,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-02-18,2010,2,18,49,3,16.7,11.5,21.7,0.5,65.8,1002.4,10.8,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-02-19,2010,2,19,50,4,16.5,11.1,22.1,0.0,57.9,1013.0,10.7,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-02-20,2010,2,20,51,5,17.6,13.4,22.4,0.2,63.8,1019.8,10.0,0,Dry,1,"Kumbo, Cameroon",3.848,11.5021,0
2010-02-21,2010,2,21,52,6,17.4,13.8,21.6,0.5,62.0,1009.6,9.4,0,Dry,1,"Kumbo, Cameroon",3.848,11.5021,0
2010-02-22,2010,2,22,53,0,17.7,13.8,22.6,3.0,89.4,1021.0,12.4,1,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-02-23,2010,2,23,54,1,15.7,10.4,21.7,0.0,62.3,1015.5,11.4,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-02-24,2010,2,24,55,2,15.9,12.8,19.0,0.6,78.2,999.0,12.1,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-02-25,2010,2,25,56,3,17.4,12.9,20.4,0.1,63.2,1022.0,6.7,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-02-26,2010,2,26,57,4,18.1,13.4,23.0,0.2,79.0,1019.6,13.2,0,Dry,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-02-27,2010,2,27,58,5,17.2,11.8,21.5,0.6,63.9,1013.8,5.5,0,Dry,1,"Kumbo, Cameroon",3.848,11.5021,0
2010-02-28,2010,2,28,59,6,16.0,12.4,21.1,0.0,85.7,1011.7,11.9,0,Dry,1,"Kumbo, Cameroon",3.848,11.5021,0
2010-03-01,2010,3,1,60,0,17.7,12.0,21.5,1.5,72.0,1008.8,9.6,1,Rainy,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-03-02,2010,3,2,61,1,17.5,12.0,21.6,4.1,62.8,1026.1,6.1,1,Rainy,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-03-03,2010,3,3,62,2,15.6,10.8,20.6,11.8,77.6,1027.2,6.7,1,Rainy,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-03-04,2010,3,4,63,3,17.4,12.2,23.4,3.7,71.3,1014.6,14.8,1,Rainy,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-03-05,2010,3,5,64,4,17.6,13.8,20.9,0.6,92.0,1003.1,8.4,0,Rainy,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-03-06,2010,3,6,65,5,17.1,11.8,22.9,4.4,84.3,1021.8,13.2,1,Rainy,1,"Kumbo, Cameroon",3.848,11.5021,0
2010-03-07,2010,3,7,66,6,17.2,12.1,21.4,0.2,40.0,1014.9,14.3,0,Rainy,1,"Kumbo, Cameroon",3.848,11.5021,0
2010-03-08,2010,3,8,67,0,19.5,16.5,23.6,7.8,64.8,1021.3,7.2,1,Rainy,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-03-09,2010,3,9,68,1,17.3,11.8,20.6,8.1,95.0,1011.0,6.9,1,Rainy,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-03-10,2010,3,10,69,2,15.6,11.7,21.2,1.0,90.1,1024.9,6.9,0,Rainy,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-03-11,2010,3,11,70,3,19.2,14.5,23.3,5.4,71.4,1009.3,14.7,1,Rainy,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-03-12,2010,3,12,71,4,17.6,13.5,22.6,3.3,94.2,1026.3,10.2,1,Rainy,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-03-13,2010,3,13,72,5,17.7,13.3,22.4,5.2,59.3,1029.0,5.4,1,Rainy,1,"Kumbo, Cameroon",3.848,11.5021,0
2010-03-14,2010,3,14,73,6,17.3,11.7,20.4,8.5,94.0,1012.1,5.0,1,Rainy,1,"Kumbo, Cameroon",3.848,11.5021,0
2010-03-15,2010,3,15,74,0,19.0,13.8,24.8,4.0,70.2,1018.8,9.5,1,Rainy,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-03-16,2010,3,16,75,1,17.8,13.3,21.8,14.2,69.7,1012.4,11.9,1,Rainy,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-03-17,2010,3,17,76,2,16.9,11.4,20.0,2.4,74.3,1010.5,7.8,1,Rainy,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-03-18,2010,3,18,77,3,16.2,10.6,22.1,1.0,64.3,1012.5,8.2,1,Rainy,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-03-19,2010,3,19,78,4,18.7,13.3,23.4,4.3,79.4,1030.0,6.7,1,Rainy,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-03-20,2010,3,20,79,5,17.4,13.4,22.9,13.4,69.8,1015.4,14.4,1,Rainy,1,"Kumbo, Cameroon",3.848,11.5021,0
2010-03-21,2010,3,21,80,6,19.4,13.6,25.2,5.8,95.0,1017.6,5.0,1,Rainy,1,"Kumbo, Cameroon",3.848,11.5021,0
2010-03-22,2010,3,22,81,0,19.1,14.7,23.4,2.3,92.9,1008.7,7.4,1,Rainy,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-03-23,2010,3,23,82,1,19.5,13.8,24.0,3.1,72.8,1005.0,11.0,1,Rainy,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-03-24,2010,3,24,83,2,17.5,11.7,20.9,1.3,70.6,1022.4,8.6,1,Rainy,0,"Kumbo, Cameroon",3.848,11.5021,0
2010-03-25,2010,3,25,84,3,18.2,14.2,23.8,2.8,91.5,1020.9,11.6,1,Rainy,0,"Kumbo, Cameroon",3.848,11.5021,0
